"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-61.21764,14.78562,NA,"Dactylopterus volitans"
"gbif",14.272312,36.018898,NA,"Dactylopterus volitans"
"gbif",14.272635,36.018153,NA,"Dactylopterus volitans"
"gbif",-0.12,38.5,NA,"Dactylopterus volitans"
"gbif",-0.12,38.51,NA,"Dactylopterus volitans"
"gbif",0.03,38.62,NA,"Dactylopterus volitans"
"gbif",0.01,38.62,NA,"Dactylopterus volitans"
"gbif",0.04,38.62,NA,"Dactylopterus volitans"
"gbif",2.4768,39.486,10,"Dactylopterus volitans"
"gbif",-0.33,38.44,NA,"Dactylopterus volitans"
"gbif",3.207778,41.917222,NA,"Dactylopterus volitans"
"gbif",3.122341,39.833052,NA,"Dactylopterus volitans"
"gbif",34.428866,31.518349,NA,"Dactylopterus volitans"
"gbif",-0.04,38.56,NA,"Dactylopterus volitans"
"gbif",-23.766157,15.277094,NA,"Dactylopterus volitans"
"gbif",-78.726826,9.499519,NA,"Dactylopterus volitans"
"gbif",-74.533155,24.068598,NA,"Dactylopterus volitans"
"gbif",-61.499668,12.467493,NA,"Dactylopterus volitans"
"gbif",-44.349789,-23.148705,NA,"Dactylopterus volitans"
"gbif",-61.79844,16.30894,NA,"Dactylopterus volitans"
"gbif",2.54183,41.5707,NA,"Dactylopterus volitans"
"gbif",-86.867317,20.866853,1,"Dactylopterus volitans"
"gbif",-75.616706,10.220227,NA,"Dactylopterus volitans"
"gbif",-82.84752,24.66164,11.8,"Dactylopterus volitans"
"gbif",-82.84743,24.66147,11.6,"Dactylopterus volitans"
"gbif",-82.83127,24.72269,19.2,"Dactylopterus volitans"
"gbif",-82.8312,24.72261,18.8,"Dactylopterus volitans"
"gbif",-82.81369,24.72397,17.7,"Dactylopterus volitans"
"gbif",-82.81352,24.72389,17,"Dactylopterus volitans"
"gbif",-82.91853,24.57858,11,"Dactylopterus volitans"
"gbif",-82.9184,24.57854,10.9,"Dactylopterus volitans"
"gbif",-82.91179,24.58276,10.7,"Dactylopterus volitans"
"gbif",-82.91177,24.58263,11.2,"Dactylopterus volitans"
"gbif",-82.9031,24.584,10.1,"Dactylopterus volitans"
"gbif",-82.90295,24.58394,9,"Dactylopterus volitans"
"gbif",-82.87609,24.5913,14,"Dactylopterus volitans"
"gbif",-82.77443,24.71897,24.7,"Dactylopterus volitans"
"gbif",-82.77438,24.71905,25,"Dactylopterus volitans"
"gbif",-82.87611,24.59122,14.2,"Dactylopterus volitans"
"gbif",-82.78387,24.72394,19.7,"Dactylopterus volitans"
"gbif",-82.79657,24.72251,14.2,"Dactylopterus volitans"
"gbif",-82.79674,24.72246,13.6,"Dactylopterus volitans"
"gbif",-82.80699,24.72444,16,"Dactylopterus volitans"
"gbif",-82.7849,24.72247,16,"Dactylopterus volitans"
"gbif",-82.78513,24.72254,15.1,"Dactylopterus volitans"
"gbif",-82.80699,24.72444,16.2,"Dactylopterus volitans"
"gbif",-82.78421,24.72431,19.4,"Dactylopterus volitans"
"gbif",-82.79601,24.73138,17.4,"Dactylopterus volitans"
"gbif",-82.77402,24.72437,27.6,"Dactylopterus volitans"
"gbif",-82.79098,24.72431,14.9,"Dactylopterus volitans"
"gbif",-82.77454,24.72407,27,"Dactylopterus volitans"
"gbif",-82.79597,24.73296,17.9,"Dactylopterus volitans"
"gbif",-82.79601,24.73138,17.9,"Dactylopterus volitans"
"gbif",-82.79076,24.72426,13.9,"Dactylopterus volitans"
"gbif",-82.79569,24.73287,18.5,"Dactylopterus volitans"
"gbif",-82.91268,24.59417,13.3,"Dactylopterus volitans"
"gbif",-82.86995,24.59754,14.8,"Dactylopterus volitans"
"gbif",-82.86997,24.59759,19.4,"Dactylopterus volitans"
"gbif",-82.91248,24.59421,9,"Dactylopterus volitans"
"gbif",-82.91592,24.59817,16.6,"Dactylopterus volitans"
"gbif",-82.91572,24.59812,15.3,"Dactylopterus volitans"
"gbif",-82.79432,24.71257,11.8,"Dactylopterus volitans"
"gbif",-82.8657,24.61817,10.7,"Dactylopterus volitans"
"gbif",-82.86556,24.61817,10.1,"Dactylopterus volitans"
"gbif",-82.79417,24.71249,11,"Dactylopterus volitans"
"gbif",-82.85535,24.62695,12.7,"Dactylopterus volitans"
"gbif",-82.85545,24.62691,12.2,"Dactylopterus volitans"
"gbif",-82.85803,24.63481,10.7,"Dactylopterus volitans"
"gbif",-82.85799,24.63475,10.7,"Dactylopterus volitans"
"gbif",-82.79584,24.71944,11.6,"Dactylopterus volitans"
"gbif",-82.85971,24.6239,7.8,"Dactylopterus volitans"
"gbif",-82.8351,24.72097,11.9,"Dactylopterus volitans"
"gbif",-82.85974,24.62397,7.9,"Dactylopterus volitans"
"gbif",-82.79584,24.71944,12.1,"Dactylopterus volitans"
"gbif",-82.83505,24.72117,12.2,"Dactylopterus volitans"
"gbif",-82.78839,24.72244,14.2,"Dactylopterus volitans"
"gbif",-82.78831,24.72245,13.6,"Dactylopterus volitans"
"gbif",-82.91104,24.57336,10.9,"Dactylopterus volitans"
"gbif",-82.9112,24.57342,10.1,"Dactylopterus volitans"
"gbif",-82.87807,24.59467,6.3,"Dactylopterus volitans"
"gbif",-82.87792,24.59478,6.9,"Dactylopterus volitans"
"gbif",-82.88532,24.59285,5.8,"Dactylopterus volitans"
"gbif",-82.8852,24.59281,6.7,"Dactylopterus volitans"
"gbif",-82.87302,24.59544,6.1,"Dactylopterus volitans"
"gbif",-82.8992,24.5874,7.9,"Dactylopterus volitans"
"gbif",-82.90933,24.59309,8.1,"Dactylopterus volitans"
"gbif",-82.91606,24.59859,9,"Dactylopterus volitans"
"gbif",-82.89432,24.5891,11.5,"Dactylopterus volitans"
"gbif",-82.8942,24.58913,11.9,"Dactylopterus volitans"
"gbif",-82.87302,24.59555,6.1,"Dactylopterus volitans"
"gbif",-82.89911,24.58745,8.5,"Dactylopterus volitans"
"gbif",-82.82343,24.6782,9,"Dactylopterus volitans"
"gbif",-82.83448,24.66708,5.1,"Dactylopterus volitans"
"gbif",-82.83452,24.66692,6.4,"Dactylopterus volitans"
"gbif",-82.84505,24.66157,6.7,"Dactylopterus volitans"
"gbif",-82.823,24.67828,9.8,"Dactylopterus volitans"
"gbif",-82.8449,24.66122,6.4,"Dactylopterus volitans"
"gbif",-82.90782,24.58149,12.2,"Dactylopterus volitans"
"gbif",-82.90793,24.58152,10.6,"Dactylopterus volitans"
"gbif",-82.88802,24.5811,14.9,"Dactylopterus volitans"
"gbif",-82.87199,24.59263,9.4,"Dactylopterus volitans"
"gbif",-82.87194,24.59255,12.1,"Dactylopterus volitans"
"gbif",-82.88788,24.58103,16.3,"Dactylopterus volitans"
"gbif",-82.77487,24.72315,24.9,"Dactylopterus volitans"
"gbif",-82.81731,24.67177,12.2,"Dactylopterus volitans"
"gbif",-82.81736,24.67177,12.2,"Dactylopterus volitans"
"gbif",-82.82604,24.6753,7.8,"Dactylopterus volitans"
